"A Thousand Acres","https://en.wikipedia.org/wiki/A_Thousand_Acres","King Lear","https://en.wikipedia.org/wiki/King_Lear"
"Boy, Snow, Bird","https://en.wikipedia.org/wiki/Boy,_Snow,_Bird","Snow White","https://en.wikipedia.org/wiki/Snow_White"
"Bridget Jones's Diary","https://en.wikipedia.org/wiki/Bridget_Jones%27s_Diary","Pride and Prejudice","https://en.wikipedia.org/wiki/Pride_and_Prejudice"
"Circe","https://en.wikipedia.org/wiki/Circe_(novel)","The Odyssey","https://en.wikipedia.org/wiki/Odyssey"
"Home Fire","https://en.wikipedia.org/wiki/Home_Fire_(novel)","Antigone","https://en.wikipedia.org/wiki/Antigone"
"Jane Eyre","https://en.wikipedia.org/wiki/Jane_Eyre","madwoman in the attic","https://en.wikipedia.org/wiki/The_Madwoman_in_the_Attic"
"Longbourn","https://en.wikipedia.org/wiki/Longbourn","Pride and Prejudice","https://en.wikipedia.org/wiki/Pride_and_Prejudice"
"March","https://en.wikipedia.org/wiki/March_(novel)","Little Women","https://en.wikipedia.org/wiki/Little_Women"
"New Boy","https://en.wikipedia.org/wiki/New_Boy_(novel)","Othello","https://en.wikipedia.org/wiki/Othello"
"Nutshell","https://en.wikipedia.org/wiki/Nutshell_(novel)","Hamlet","https://en.wikipedia.org/wiki/Hamlet"
"Rosencrantz and Guildenstern Are Dead","https://en.wikipedia.org/wiki/Rosencrantz_and_Guildenstern_Are_Dead","Hamlet","https://en.wikipedia.org/wiki/Hamlet"
"The Hours","https://en.wikipedia.org/wiki/The_Hours_(novel)","Mrs Dalloway","https://en.wikipedia.org/wiki/Mrs_Dalloway"
"The Penelopiad","https://en.wikipedia.org/wiki/The_Penelopiad","The Odyssey","https://en.wikipedia.org/wiki/Odyssey"
"The Silence of the Girls","https://en.wikipedia.org/wiki/The_Silence_of_the_Girls","The Iliad","https://en.wikipedia.org/wiki/Iliad"
"The Song of Achilles","https://en.wikipedia.org/wiki/The_Song_of_Achilles","The Iliad","https://en.wikipedia.org/wiki/Iliad"
"The Wind Done Gone","https://en.wikipedia.org/wiki/The_Wind_Done_Gone","Gone with the Wind","https://en.wikipedia.org/wiki/Gone_with_the_Wind_(novel)"
"Ulysses","https://en.wikipedia.org/wiki/Ulysses_(novel)","The Odyssey","https://en.wikipedia.org/wiki/Odyssey"
"Vinegar Girl","https://en.wikipedia.org/wiki/Vinegar_Girl","The Taming of the Shrew","https://en.wikipedia.org/wiki/The_Taming_of_the_Shrew"
"Wide Sargasso Sea","https://en.wikipedia.org/wiki/Wide_Sargasso_Sea","Jane Eyre","https://en.wikipedia.org/wiki/Jane_Eyre"
"Fuzzy Nation","https://en.wikipedia.org/wiki/Fuzzy_Nation","Little Fuzzy","https://en.wikipedia.org/wiki/Little_Fuzzy"
